id,ticker,name,type,segment,management
1,KNIP11,Kinea Índice de Preços,Papel,Títulos e Valores,Ativa
2,KNCR11,Kinea Rendimentos Imobiliários,Papel,Títulos e Valores,Ativa
3,XPML11,XP Malls,Tijolo,Shoppings,Ativa
4,HGLG11,CGHG Logística,Tijolo,Logística,Ativa
5,KNRI11,Kinea Renda Imobiliária,Papel,Títulos e Valores,Ativa
6,BTLG11,BTG PACTUAL LOGISTICA FDO INV IMOB – FII,Tijolo,Logística,Ativa
7,HGRU11,CSHG Renda Urbana,Híbrido,Misto,Ativa
8,MXRF11,Maxi Renda,Papel,Títulos e Valores,Ativa
9,VISC11,Vinci Shopping Centers,Tijolo,Shoppings,Ativa
10,XPLG11,XP Log,Tijolo,Logística,Ativa
11,KNHY11,Kinea High Yield CRI,Papel,Títulos e Valores,Ativa
12,HGBS11,CSHG Brasil Shopping,Tijolo,Shoppings,Ativa
13,CPTS11,Capitania Securities II,Papel,Títulos e Valores,Ativa
14,IRDM11,Iridium Recebíveis Imobiliários,Papel,Títulos e Valores,Ativa
15,TGAR11,TG Ativo Real,Híbrido,Desenvolvimento,Ativa
16,PVBI11,FDO. INV. IMOB. VBI PRIME PROPERTIES,Tijolo,Lajes Corporativas,Ativa
17,RECR11,FII REC Recebíveis Imobiliários,Papel,Títulos e Valores,Ativa
18,BRCO11,BRESCO LOGÍSTICA – FDO INV IMOB,Tijolo,Logística,Ativa
20,TRXF11,TRX Real Estate,Híbrido,Misto,Ativa
21,HSML11,HSI MALL FDO INV IMOB,Tijolo,Shoppings,Ativa
22,KNHF11,KINEA HEDGE FUND FDO DE INV IMOB,Híbrido,Indefinido,Ativa
23,RZTR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,Híbrido,Misto,Ativa
25,LVBI11,FDO INV IMOB – VBI LOGÍSTICO,Tijolo,Logística,Ativa
26,MCCI11,FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. – FII,Papel,Títulos e Valores,Ativa
27,HFOF11,Hedge Top FOFII 3,Fundo de Fundos,Títulos e Valores,Ativa
28,KNUQ11,KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB,Papel,Títulos e Valores,Ativa
