ticker;name
SPY;SPDR S&P 500 ETF Trust
IVV;iShares Core S&P 500 ETF
VOO;Vanguard S&P 500 ETF
VTI;Vanguard Total Stock Market ETF
QQQ;Invesco QQQ Trust Series I
VUG;Vanguard Growth ETF
VEA;Vanguard FTSE Developed Markets ETF
VTV;Vanguard Value ETF
IEFA;iShares Core MSCI EAFE ETF
BND;Vanguard Total Bond Market ETF
AGG;iShares Core U.S. Aggregate Bond ETF
IWF;iShares Russell 1000 Growth ETF
IJH;iShares Core S&P Mid-Cap ETF
VIG;Vanguard Dividend Appreciation ETF
IJR;iShares Core S&P Small-Cap ETF
VWO;Vanguard FTSE Emerging Markets ETF
IEMG;iShares Core MSCI Emerging Markets ETF
VGT;Vanguard Information Technology ETF
GLD;SPDR Gold Shares
VXUS;Vanguard Total International Stock ETF
XLK;Technology Select Sector SPDR Fund
VO;Vanguard Mid-Cap ETF
IWM;iShares Russell 2000 ETF
RSP;Invesco S&P 500� Equal Weight ETF
SCHD;Schwab US Dividend Equity ETF
ITOT;iShares Core S&P Total U.S. Stock Market ETF
BNDX;Vanguard Total International Bond ETF
VB;Vanguard Small Cap ETF
IWD;iShares Russell 1000 Value ETF
VYM;Vanguard High Dividend Yield Index ETF
TLT;iShares 20+ Year Treasury Bond ETF
EFA;iShares MSCI EAFE ETF
IVW;iShares S&P 500 Growth ETF
SCHX;Schwab U.S. Large-Cap ETF
QUAL;iShares MSCI USA Quality Factor ETF
VCIT;Vanguard Intermediate-Term Corporate Bond ETF
SPLG;SPDR Portfolio S&P 500 ETF
XLF;Financial Select Sector SPDR Fund
XLV;Health Care Select Sector SPDR Fund
SCHF;Schwab International Equity ETF
VT;Vanguard Total World Stock ETF
VEU;Vanguard FTSE All-World ex-US Index Fund
VV;Vanguard Large Cap ETF
MUB;iShares National Muni Bond ETF
IXUS;iShares Core MSCI Total International Stock ETF
IWB;iShares Russell 1000 ETF
VNQ;Vanguard Real Estate ETF
IWR;iShares Russell Midcap ETF
JEPI;JPMorgan Equity Premium Income Fund
XLE;Energy Select Sector SPDR Fund
IVE;iShares S&P 500 Value ETF
DIA;SPDR Dow Jones Industrial Average ETF Trust
VCSH;Vanguard Short-Term Corporate Bond ETF
VTEB;Vanguard Tax-Exempt Bond ETF
QQQM;Invesco NASDAQ 100 ETF
BIL;SPDR Bloomberg 1-3 Month T-Bill ETF
IEF;iShares 7-10 Year Treasury Bond ETF
BSV;Vanguard Short-Term Bond ETF
SCHG;Schwab U.S. Large-Cap Growth ETF
MBB;iShares MBS ETF
IAU;iShares Gold Trust
IUSB;iShares Core Total USD Bond Market ETF
DFAC;Dimensional U.S. Core Equity 2 ETF
SCHB;Schwab U.S. Broad Market ETF
VGIT;Vanguard Intermediate-Term Treasury ETF
VBR;Vanguard Small Cap Value ETF
DGRO;iShares Core Dividend Growth ETF
SPYG;SPDR Portfolio S&P 500 Growth ETF
GOVT;iShares U.S. Treasury Bond ETF
LQD;iShares iBoxx $ Investment Grade Corporate Bond ETF
JPST;JPMorgan Ultra-Short Income ETF
SGOV;iShares 0-3 Month Treasury Bond ETF
IBIT;iShares Bitcoin Trust ETF
SPYV;SPDR Portfolio S&P 500 Value ETF
COWZ;Pacer US Cash Cows 100 ETF
SMH;VanEck Semiconductor ETF
USMV;iShares MSCI USA Min Vol Factor ETF
TQQQ;ProShares UltraPro QQQ
MGK;Vanguard Mega Cap Growth ETF
MDY;SPDR S&P Midcap 400 ETF Trust
VONG;Vanguard Russell 1000 Growth ETF
SHY;iShares 1-3 Year Treasury Bond ETF
SDY;SPDR S&P Dividend ETF
IGSB;iShares 1-5 Year Investment Grade Corporate Bond ETF
SPDW;SPDR Portfolio Developed World ex-US ETF
USHY;iShares Broad USD High Yield Corporate Bond ETF
VXF;Vanguard Extended Market ETF
DVY;iShares Select Dividend ETF
XLI;Industrial Select Sector SPDR Fund
IUSG;iShares Core S&P U.S. Growth ETF
VGSH;Vanguard Short-Term Treasury ETF
BIV;Vanguard Intermediate-Term Bond ETF
XLY;Consumer Discretionary Select Sector SPDR Fund
IUSV;iShares Core S&P U.S. Value ETF
ACWI;iShares MSCI ACWI ETF
EFV;iShares MSCI EAFE Value ETF
IYW;iShares U.S. Technology ETF
XLU;Utilities Select Sector SPDR Fund
VGK;Vanguard FTSE Europe ETF
EEM;iShares MSCI Emerging Markets ETF
